epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,75601.9,1.30583,0.98386,1.25008,0.79599,0.70108,0.78655,0.49231,1.33952,0.93472,1.24582,0.0003764,0.0003764,0.0003764
125,76232.5,1.31563,0.97695,1.247,0.81455,0.67527,0.78117,0.49743,1.28908,0.94298,1.23101,0.0003632,0.0003632,0.0003632
126,76842.2,1.31638,0.99955,1.25571,0.81312,0.68308,0.78114,0.49674,1.29198,0.94295,1.22731,0.00035,0.00035,0.00035
127,77445.5,1.29759,0.95861,1.2403,0.82696,0.69032,0.79523,0.49866,1.30827,0.92461,1.23637,0.0003368,0.0003368,0.0003368
128,78049.1,1.30941,0.98283,1.25014,0.82885,0.68043,0.78343,0.4984,1.27814,0.93832,1.22393,0.0003236,0.0003236,0.0003236
129,78652.3,1.29326,0.95909,1.23972,0.8238,0.68459,0.78272,0.50034,1.27674,0.93999,1.22301,0.0003104,0.0003104,0.0003104
130,79265.5,1.30831,0.96832,1.24276,0.78723,0.70609,0.78483,0.49948,1.30613,0.93636,1.2291,0.0002972,0.0002972,0.0002972
131,79866.1,1.29285,0.95936,1.24643,0.81599,0.67712,0.78266,0.49979,1.28539,0.94283,1.22508,0.000284,0.000284,0.000284
132,80478.5,1.29383,0.96013,1.2439,0.81378,0.68387,0.78376,0.50327,1.28475,0.93256,1.22395,0.0002708,0.0002708,0.0002708
133,81082.8,1.29876,0.97309,1.24589,0.79367,0.69391,0.78264,0.50338,1.29401,0.92758,1.22803,0.0002576,0.0002576,0.0002576
134,81694.4,1.28003,0.94794,1.2263,0.79879,0.71039,0.78887,0.50414,1.2892,0.91691,1.22543,0.0002444,0.0002444,0.0002444
135,82306.4,1.30086,0.96207,1.23775,0.78651,0.70775,0.78784,0.50418,1.30389,0.91747,1.2284,0.0002312,0.0002312,0.0002312
136,82917,1.27933,0.94683,1.22395,0.795,0.71166,0.78777,0.50706,1.29359,0.92311,1.22814,0.000218,0.000218,0.000218
137,83518.9,1.27533,0.9332,1.23217,0.7863,0.71326,0.79081,0.50369,1.29011,0.91989,1.22923,0.0002048,0.0002048,0.0002048
138,84128,1.2729,0.93998,1.22425,0.78304,0.71663,0.79041,0.50834,1.27621,0.91371,1.22603,0.0001916,0.0001916,0.0001916
139,84776.3,1.29637,0.954,1.24966,0.79033,0.69534,0.78299,0.49854,1.29906,0.92886,1.23027,0.0001784,0.0001784,0.0001784
140,85386.2,1.28651,0.949,1.23333,0.82988,0.66953,0.78526,0.49921,1.29822,0.92871,1.23284,0.0001652,0.0001652,0.0001652
141,85999.6,1.12487,0.76869,1.15832,0.78699,0.69391,0.78034,0.49688,1.28913,0.93154,1.23045,0.000152,0.000152,0.000152
142,86601.5,1.11014,0.72139,1.14692,0.80765,0.68626,0.78273,0.49714,1.29012,0.92795,1.22926,0.0001388,0.0001388,0.0001388
143,87225.7,1.08925,0.70624,1.14362,0.80057,0.68198,0.78166,0.49874,1.28977,0.9241,1.23439,0.0001256,0.0001256,0.0001256
144,87877.8,1.09772,0.70549,1.13378,0.80464,0.68315,0.78099,0.49979,1.2785,0.9288,1.22613,0.0001124,0.0001124,0.0001124
145,88528.8,1.0974,0.68529,1.14042,0.80234,0.6867,0.77947,0.50098,1.27578,0.92662,1.22418,9.92e-05,9.92e-05,9.92e-05
146,89174.4,1.06835,0.68969,1.11706,0.79977,0.68315,0.78112,0.49806,1.28469,0.92843,1.22574,8.6e-05,8.6e-05,8.6e-05
147,89749.1,1.0875,0.69355,1.13555,0.79816,0.69104,0.78202,0.50008,1.28023,0.92526,1.22511,7.28e-05,7.28e-05,7.28e-05
148,90321.9,1.06868,0.68493,1.13125,0.81408,0.68387,0.78285,0.49862,1.28375,0.92823,1.22315,5.96e-05,5.96e-05,5.96e-05
149,90898.6,1.08564,0.68313,1.13336,0.81649,0.68029,0.78036,0.50164,1.26989,0.92492,1.22111,4.64e-05,4.64e-05,4.64e-05
150,91469.6,1.0687,0.67332,1.12399,0.81769,0.67742,0.78202,0.50211,1.27568,0.92184,1.22456,3.32e-05,3.32e-05,3.32e-05
